,time,bpm
0,0.0,208.246927
1,0.127029,208.246927
2,0.254058,208.246927
3,0.381087,208.246927
4,1.270289,108.663816
5,1.397318,108.663816
6,1.524347,108.663816
7,1.651376,108.663816
8,1.778405,108.663816
9,1.905434,108.663816
10,2.032463,108.663816
11,2.159492,108.663816
12,3.302752,110.587921
13,3.429781,110.587921
14,3.55681,110.587921
15,3.683839,110.587921
16,3.810868,112.469268
17,3.937897,112.469268
18,4.064926,112.469268
19,4.191955,112.469268
20,4.318984,112.469268
21,4.446013,112.469268
22,4.573042,112.469268
23,4.700071,112.469268
24,5.335215,112.469268
25,5.462244,112.469268
26,5.589273,112.469268
27,5.716302,112.469268
28,5.843331,112.469268
29,5.97036,112.469268
30,6.097389,112.469268
31,6.224418,112.469268
32,6.351447,107.16729
33,6.478476,107.16729
34,6.605505,107.16729
35,6.732534,107.16729
36,6.859562,108.364511
37,6.986591,108.364511
38,7.11362,108.663816
39,7.240649,108.663816
40,7.367678,108.663816
41,7.494707,108.663816
42,7.621736,108.663816
43,7.748765,108.663816
44,7.875794,108.663816
45,8.002823,108.663816
46,9.400141,113.324425
47,9.52717,113.324425
48,9.654199,113.324425
49,9.781228,113.324425
50,9.908257,113.324425
51,10.035286,113.324425
52,10.162315,113.324425
53,10.289344,113.324425
54,10.67043,113.923036
55,10.797459,113.923036
56,10.924488,113.923036
57,11.051517,113.923036
58,11.178546,113.923036
59,11.305575,113.923036
60,11.432604,113.923036
61,11.559633,113.923036
62,11.686662,113.923036
63,11.813691,113.923036
64,11.94072,113.923036
65,12.067749,113.923036
66,12.194778,113.923036
67,12.321807,113.923036
68,12.448836,113.923036
69,12.575865,113.923036
70,12.702893,113.923036
71,12.829922,113.923036
72,12.956951,113.923036
73,13.08398,113.880278
74,13.211009,113.153394
75,13.338038,118.840192
76,13.465067,118.840192
77,13.592096,118.840192
78,13.719125,118.840192
79,13.846154,118.840192
80,13.973183,118.840192
81,14.100212,118.840192
82,14.227241,118.840192
83,14.35427,118.840192
84,14.481299,118.840192
85,14.608327,118.840192
86,14.735356,118.840192
87,14.862385,118.840192
88,14.989414,118.840192
89,15.116443,118.840192
90,15.243472,118.840192
91,15.370501,117.386424
92,15.49753,117.386424
93,15.624559,117.386424
94,15.751588,117.386424
95,15.878617,117.386424
96,16.005646,117.386424
97,16.132675,117.386424
98,16.259704,115.889898
99,16.386733,115.889898
100,16.513761,115.889898
101,16.64079,115.889898
102,16.767819,115.889898
103,16.894848,115.889898
104,17.021877,115.889898
105,17.148906,115.889898
106,17.275935,112.811331
107,17.402964,112.811331
108,17.529993,112.811331
109,17.657022,112.811331
110,17.784051,112.811331
111,17.91108,112.811331
112,18.038109,113.23891
113,18.165138,113.23891
114,18.292167,113.495457
115,18.419195,113.495457
116,18.546224,113.495457
117,18.673253,113.495457
118,18.800282,113.495457
119,18.927311,113.495457
120,19.05434,113.495457
121,19.181369,113.495457
122,19.308398,116.06093
123,19.435427,116.06093
124,19.562456,116.146446
125,19.689485,116.146446
126,19.816514,116.146446
127,19.943543,116.146446
128,20.070572,116.146446
129,20.197601,118.241582
130,20.324629,118.241582
131,20.451658,118.241582
132,20.578687,118.241582
133,20.705716,118.241582
134,20.832745,118.241582
135,20.959774,118.241582
136,21.086803,118.241582
137,21.213832,118.840192
138,21.340861,118.840192
139,21.46789,118.840192
140,21.594919,118.840192
141,21.721948,118.840192
142,21.848977,118.840192
143,21.976006,118.840192
144,22.103035,118.840192
145,22.230064,118.840192
146,22.357092,118.840192
147,22.484121,118.840192
148,22.61115,118.840192
149,22.738179,116.87333
150,22.865208,116.87333
151,22.992237,116.87333
152,24.643613,116.787814
153,24.770642,116.87333
154,24.897671,116.87333
155,25.0247,116.87333
156,25.151729,116.87333
157,25.278758,116.87333
158,25.405787,116.87333
159,25.532816,116.87333
160,25.659845,113.923036
161,25.786874,113.923036
162,25.913903,115.761625
163,26.040932,115.804383
164,26.16796,115.804383
165,26.294989,115.804383
166,26.422018,115.804383
167,26.549047,115.804383
168,26.676076,116.274719
169,26.803105,116.274719
170,26.930134,116.274719
171,27.057163,116.274719
172,27.184192,116.274719
173,27.311221,116.274719
174,27.43825,116.274719
175,27.565279,116.317477
176,27.692308,116.87333
177,27.819337,116.87333
178,27.946366,116.87333
179,28.073394,116.87333
180,28.200423,116.87333
181,28.327452,116.87333
182,28.454481,116.87333
183,28.58151,116.87333
184,28.708539,116.87333
185,28.835568,116.87333
186,28.962597,116.87333
187,29.089626,116.87333
188,29.216655,116.87333
189,29.343684,116.87333
190,30.741002,116.702298
191,30.868031,116.702298
192,30.99506,116.702298
193,31.122089,116.702298
194,31.249118,116.702298
195,31.376147,116.702298
196,31.503176,116.702298
197,31.630205,116.702298
198,31.757234,112.597541
199,31.884263,112.597541
200,32.011291,112.597541
201,32.13832,112.597541
202,32.265349,112.597541
203,32.392378,112.597541
204,32.519407,112.597541
205,32.646436,112.597541
206,32.773465,111.058258
207,32.900494,111.058258
208,33.027523,110.716195
209,33.154552,110.716195
210,33.281581,116.87333
211,33.40861,116.87333
212,33.535639,116.87333
213,33.662668,116.87333
214,33.789697,116.87333
215,33.916725,116.87333
216,34.043754,116.87333
217,34.170783,116.87333
218,34.297812,116.87333
219,34.424841,116.87333
220,34.55187,116.87333
221,34.678899,116.87333
222,34.805928,113.367183
223,34.932957,113.367183
224,35.059986,112.683057
225,35.187015,112.683057
226,35.314044,112.683057
227,35.441073,112.683057
228,35.568102,112.683057
229,35.695131,112.683057
230,35.822159,112.683057
231,35.949188,112.683057
232,37.600565,111.485836
233,37.727594,111.485836
234,37.854622,111.485836
235,37.981651,111.485836
236,38.10868,111.485836
237,38.235709,111.485836
238,38.362738,113.923036
239,38.489767,113.923036
240,38.616796,113.923036
241,38.743825,113.923036
242,38.870854,113.923036
243,38.997883,113.923036
244,39.124912,113.923036
245,39.251941,113.923036
246,41.157375,115.676109
247,41.284404,115.676109
248,41.411433,115.847141
249,41.538462,115.847141
250,41.66549,115.847141
251,41.792519,115.847141
252,41.919548,115.847141
253,42.046577,115.847141
254,42.173606,116.531267
255,42.300635,116.531267
256,42.427664,116.531267
257,42.554693,116.531267
258,42.681722,116.531267
259,42.808751,116.531267
260,42.93578,116.531267
261,43.062809,116.531267
262,43.189838,116.445751
263,43.316867,116.445751
264,43.443896,115.932656
265,43.570924,115.932656
266,43.697953,115.847141
267,43.824982,115.847141
268,43.952011,115.847141
269,44.07904,115.847141
270,44.206069,115.847141
271,44.333098,115.847141
272,47.381793,116.87333
273,47.508821,116.87333
274,47.63585,116.87333
