,time,uterus
0,0.0,36.534718
1,0.127029,36.534718
2,0.254058,36.534718
3,0.381087,36.534718
4,0.508116,36.534718
5,0.635145,36.534718
6,0.762174,36.534718
7,0.889203,36.534718
8,1.016231,36.534718
9,1.14326,36.534718
10,1.270289,36.534718
11,1.397318,36.534718
12,1.524347,36.534718
13,1.651376,34.717716
14,1.778405,34.717716
15,1.905434,34.717716
16,2.032463,34.717716
17,2.159492,34.717716
18,2.286521,34.717716
19,2.41355,34.58793
20,2.540579,34.58793
21,2.667608,34.58793
22,2.794637,34.58793
23,2.921665,34.58793
24,3.048694,34.58793
25,3.175723,34.58793
26,3.302752,34.58793
27,3.429781,34.58793
28,3.55681,34.58793
29,3.683839,34.58793
30,3.810868,34.58793
31,3.937897,34.58793
32,4.064926,34.58793
33,4.191955,34.458144
34,4.318984,34.458144
35,4.446013,33.160286
36,4.573042,33.160286
37,4.700071,33.160286
38,4.8271,33.160286
39,4.954128,32.900714
40,5.081157,32.900714
41,5.208186,32.641142
42,5.335215,32.641142
43,5.462244,31.862427
44,5.589273,31.862427
45,5.716302,31.602855
46,5.843331,31.602855
47,5.97036,30.82414
48,6.097389,30.82414
49,6.224418,30.82414
50,6.351447,30.82414
51,6.478476,30.82414
52,6.605505,30.82414
53,6.732534,30.694354
54,6.859562,30.694354
55,10.289344,28.16353
56,10.416373,28.16353
57,10.543402,28.16353
58,10.67043,28.16353
59,10.797459,28.16353
60,10.924488,28.16353
61,11.051517,28.16353
62,11.178546,28.16353
63,11.305575,27.190136
64,11.432604,27.190136
65,11.559633,26.930565
66,11.686662,26.930565
67,11.813691,26.670993
68,11.94072,26.670993
69,12.067749,26.411421
70,12.194778,26.411421
71,12.321807,25.373134
72,12.448836,25.373134
73,12.575865,24.464633
74,12.702893,24.464633
75,12.829922,24.464633
76,12.956951,24.464633
77,13.08398,24.334848
78,13.211009,24.334848
79,13.338038,23.685918
80,13.465067,23.685918
81,13.592096,23.426347
82,13.719125,23.426347
83,13.846154,22.647631
84,13.973183,22.647631
85,14.100212,22.647631
86,14.227241,22.647631
87,14.35427,22.517846
88,14.481299,22.517846
89,14.608327,22.258274
90,14.735356,22.258274
91,14.862385,22.128488
92,14.989414,22.128488
93,15.116443,22.258274
94,15.243472,22.258274
95,15.370501,22.258274
96,15.49753,22.258274
97,15.624559,22.258274
98,15.751588,22.258274
99,15.878617,22.38806
100,16.005646,22.38806
101,16.132675,22.38806
102,16.259704,22.38806
103,16.386733,22.38806
104,16.513761,22.38806
105,16.64079,22.38806
106,16.767819,22.38806
107,16.894848,22.38806
108,17.021877,22.38806
109,17.148906,22.258274
110,17.275935,22.258274
111,17.402964,22.128488
112,17.529993,22.128488
113,17.657022,22.258274
114,17.784051,22.258274
115,17.91108,22.258274
116,18.038109,22.258274
117,18.165138,22.258274
118,18.292167,22.258274
119,18.419195,22.258274
120,18.546224,22.258274
121,19.689485,24.789098
122,19.816514,24.789098
